,nome_municipio,area_desmatada,codigo_municipio,uf,ano
284,Humaitá,20.7,1301704,Amazonas,2008
285,Borba,8.55,1300805,Amazonas,2008
286,Ourilândia do Norte,20.21,1505437,Pará,2008
287,Cerejeiras,2.23,1100056,Rondônia,2008
288,Mãe do Rio,0.29,1504059,Pará,2008
289,Bom Jesus das Selvas,52.91,2102036,Maranhão,2008
290,São João do Soter,0.0,2111078,Maranhão,2008
291,Magalhães Barata,0.41,1504109,Pará,2008
292,Senador Alexandre Costa,10.99,2111748,Maranhão,2008
293,São Mateus do Maranhão,1.57,2111508,Maranhão,2008
294,Marajá do Sena,17.71,2106359,Maranhão,2008
295,Igarapé do Meio,0.82,2105153,Maranhão,2008
296,Santa Rosa do Tocantins,0.0,1718907,Tocantins,2008
297,Manacapuru,2.16,1302504,Amazonas,2008
298,Alvarães,10.49,1300029,Amazonas,2008
299,Cabixi,3.82,1100031,Rondônia,2008
300,Candeias do Jamari,47.38,1100809,Rondônia,2008
301,Nova Canaã do Norte,20.73,5106216,Mato Grosso,2008
302,Moju,115.96,1504703,Pará,2008
303,Maués,19.85,1302900,Amazonas,2008
304,São Miguel do Guaporé,41.2,1100320,Rondônia,2008
305,Santa Maria das Barreiras,104.47,1506583,Pará,2008
306,Silves,2.83,1304005,Amazonas,2008
307,Bandeirantes do Tocantins,0.68,1703057,Tocantins,2008
308,Porto Alegre do Norte,12.46,5106778,Mato Grosso,2008
309,Gaúcha do Norte,196.36,5103858,Mato Grosso,2008
310,Nova Monte Verde,23.43,5108956,Mato Grosso,2008
311,Cametá,0.79,1502103,Pará,2008
312,Tarauacá,36.85,1200609,Acre,2008
