latitude,longitude,distancia_km,municipio,uf
-10.4077,-65.3346,241,Nova Mamoré,RO
-7.2463,-42.541,241,São Francisco do Piauí,PI
-29.1311,-56.5515,241,Itaqui,RS
-7.59748,-41.4673,241,Vera Mendes,PI
-15.4641,-58.3425,241,Araputanga,MT
-10.4594,-40.1865,241,Senhor do Bonfim,BA
-9.3281,-50.35,241,Santana do Araguaia,PA
-3.83053,-62.0658,240,Codajás,AM
-18.5594,-51.1328,240,Caçu,GO
-13.2552,-46.8928,240,Monte Alegre de Goiás,GO
-16.0059,-51.3979,240,Montes Claros de Goiás,GO
-3.83542,-50.6399,240,Pacajá,PA
-7.44336,-41.4687,239,Itainópolis,PI
-6.64254,-51.9904,239,São Félix do Xingu,PA
-11.5308,-54.3616,239,União do Sul,MT
-7.07721,-41.467,239,Picos,PI
-13.8665,-49.0716,238,Estrela do Norte,GO
-15.768,-58.3108,238,Glória D'Oeste,MT
-14.0148,-49.1777,238,Mara Rosa,GO
-10.0319,-45.3092,237,São Gonçalo do Gurguéia,PI
-17.0723,-40.7245,237,Machacalis,MG
-10.2483,-62.3538,237,Theobroma,RO
-1.74691,-52.2361,237,Porto de Moz,PA
-10.5767,-40.2785,236,Antônio Gonçalves,BA
-11.533,-57.4132,236,Porto dos Gaúchos,MT
-14.4265,-54.0524,235,Paranatinga,MT
-7.09128,-43.5033,235,Jerumenha,PI
-16.9707,-40.6727,235,Santa Helena de Minas,MG
-19.1179,-51.7313,234,Cassilândia,MS
-18.7646,-51.3485,234,Itarumã,GO
-10.3482,-39.8391,234,Andorinha,BA
-13.7801,-47.2659,233,Teresina de Goiás,GO
-11.0859,-43.1459,233,Barra,BA
-4.62806,-45.4531,233,Marajá do Sena,MA
-14.1011,-46.6335,233,Iaciara,GO
-16.8488,-40.1641,233,Jucuruçu,BA
-11.0614,-55.2766,232,Itaúba,MT
-19.0216,-53.0116,232,Paraíso das Águas,MS
-13.787,-48.5704,232,Campinaçu,GO
-14.1978,-49.3378,232,Alto Horizonte,GO
-14.5604,-46.178,232,Damianópolis,GO
-9.83325,-39.4794,232,Uauá,BA
-8.51136,-41.0095,231,Afrânio,PE
-4.06873,-45.69,231,Santa Luzia,MA
-17.3554,-52.6799,230,Portelândia,GO
-17.2548,-40.5779,230,Umburatiba,MG
-22.011,-57.0277,229,Caracol,MS
-18.3255,-53.7042,229,Alcinópolis,MS
-6.94082,-41.8889,229,São João da Varjota,PI
-7.03687,-41.3767,229,Sussuapara,PI
-12.4169,-41.7722,229,Seabra,BA
-6.81203,-41.3415,228,São João da Canabrava,PI
-14.2868,-49.3872,228,Nova Iguaçu de Goiás,GO
-10.7433,-40.3675,228,Pindobaçu,BA
-12.9287,-46.9359,228,Arraias,TO
-10.961,-40.574,227,Mirangaba,BA
-16.8691,-41.2473,227,Monte Formoso,MG
-7.01915,-42.1283,227,Oeiras,PI
-14.5412,-49.974,227,Crixás,GO
-13.6329,-49.8106,227,Bonópolis,GO
-5.12593,-60.3732,227,Novo Aripuanã,AM
